Product Id,Weight (kg),Length (m),Width (m),Height (m)
44331,1.025,0.2286,0.1524,0.0508
44352,0.504,0.14,0.04,0.16
44373,0.488,0.105,0.105,0.075
44394,1.0028,0.11,0.11,0.15
44415,0.55,0.13,0.13,0.11
44436,0.045,0.08,0.08,0.26
44457,0.224,0.15,0.13,0.03
44478,0.246,0.13,0.03,0.14
44499,2.003,0.36,0.26,0.04
44520,1.0018,0.28,0.21,0.05
44541,1.005,0.1397,0.1905,0.0445
44562,0.0497,0.22,0.14,0.025
44583,0,0,0,0
44604,0.07,0.125,0.09,0.03
44625,0.5,0.07,0.07,0.14
44646,0.5,0.07,0.07,0.14
44667,0.056,0.065,0.065,0.25
44688,0.554,0.08,0.05,0.22
44709,0.42,0.07,0.07,0.115
44730,0.782,0.08,0.08,0.15
44751,1.0344,0.1016,0.1016,0.1778
44772,0,0,0,0
44793,0.201,0.06,0.048,0.115
44814,0.213,0.17,0.12,0.05
44835,0.0442,0.1143,0.0508,0.1651
44856,0,0,0,0
44877,0.265,0.05,0.05,0.11
44898,0,0,0,0
44919,0,0,0,0
44940,0,0,0,0
44961,0.1,0.17,0.08,0.04
44982,0.9,0.11,0.11,0.11
45003,0,0,0,0
45024,,0.1143,0.2286,0.0762
45045,0.395,0.2032,0.2032,0.1143
45066,0,0,0,0
45087,0.574,0.055,0.055,0.21
45108,0,0,0,0
45129,0,0,0,0
45150,0,0,0,0
45171,0.55,0.07,0.07,0.21
45192,0.4,0.15,0.06,0.1524
45213,0,0,0,0
45234,0.034,0.16,0.12,0.08
45255,0.15,0.16,0.13,0.05
45276,0.2,0.06,0.13,0.2
45297,0.022,,0.16,0.07
45318,0.46,0.085,0.085,0.195
45339,0.041,0.2,0.16,0.04
45360,0.168,0.15,0.09,0.06
45381,0,0,0,0
45402,0,0,0,0
45423,0.065,0.14,0.06,0.03
45444,0.022,0.17,0.02,0.03
45465,0,0,0,0
45486,0.02,0.08,0.02,0.01
45507,1,0.23,0.16,0.04
45528,0.032,0.1397,0.1651,0.0635
45549,0,0,0,0
45570,0.508,0.15,0.15,0.05
45591,0.286,0.06,0.06,0.19
45612,0,0,0,0
45633,0,0,0,0
45654,0.104,0.04,0.025,0.13
45675,0,0,0,0
45696,0,0,0,0
45717,0,0,0,0
45738,0,0,0,0
45759,1.0352,0.11,0.11,0.31
45780,2.4,0.1016,0.1016,0.381
45801,0.644,0.0762,0.0762,0.254
45822,0.3,0.06,0.06,0.15
45843,0,0,0,0
45864,0.08,0.145,0.09,0.04
45885,0.112,0.17,0.035,0.03
45906,1.084,0.1,0.07,0.21
45927,1.084,0.1,0.07,0.21
45948,0,0,0,0
45969,1.0088,0.11,0.072,0.21
45990,0.35,0.05,0.05,0.07
46011,0.25,0.06,0.06,0.11
46032,0.734,0.08,0.08,0.14
46053,0.22,0.2,0.05,0.04
46074,0.324,0.07,0.07,0.19
46095,0.314,0.22,0.055,0.185
46116,0.442,0.19,0.14,0.05
46137,0,0,0,0
46158,0.02,0.08,0.08,0.06
46179,0.0822,0.15,0.05,0.24
46200,0.124,0.06,0.04,0.1
46221,0.25,0.09,0.03,0.16
46242,0.17,0.16,0.09,0.04
46263,0,0,0,0
46284,0.1,0.14,0.11,0.04
46305,1.004,0.26,0.19,
46326,0.4,0.2,0.14,0.07
46347,0.5,0.23,0.16,0.08
46368,0.366,0.21,0.1,0.06
46389,0.0148,0.095,0.07,0.035
46410,0.146,0.095,0.07,0.04
46431,0,0,0,0
46452,0,0,0,0
46473,0.3,0.27,0.09,0.03
46494,0,0,0,0
46515,0,0,0,0
46536,0.07,0.15,0.05,0.03
46557,0.036,0.13,0.04,0.025
46578,0.072,0.15,0.05,0.03
46599,1.36,0.1,0.1,0.31
46620,0.668,0.075,0.075,0.24
46641,0.3,0.06,0.06,0.15
46662,0.29,0.06,0.06,0.24
46683,0.16,0.25,0.12,0.08
46704,0.164,0.248,0.115,0.075
46725,0.08,0.1,0.1,0.12
46746,1.0184,0.14,0.07,0.24
